id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
203806,Flat close to Sint-Pieters Station!,999847,Jean Denis,,Watersportbaan - Ekkergem,51.04426,3.7127,Entire home/apt,125,5,334,2025-06-09,2.01,1,201,23,
252269,Large & bright town House - Center Ghent - max 8p,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05059,3.71895,Entire home/apt,312,2,333,2025-06-23,2.07,1,192,41,
696209,Black & White studioB central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,91,90,39,2024-12-31,0.26,6,195,1,
743981,Black & White studioA central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,91,90,24,2025-01-31,0.16,6,147,1,
835795,Koestraat 46,4369972,Koestraat 46,,Binnenstad,51.05277,3.72902,Entire home/apt,109,2,623,2025-06-19,4.16,1,210,83,
887716,Duplex studio F central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,100,90,11,2024-06-30,0.12,6,211,1,
924683,Perfect apartment center of Ghent,4974034,Carmen,,Elisabethbegijnhof - Papegaai,51.05353,3.71675,Entire home/apt,51,4,404,2025-05-12,2.69,1,22,1,
1141163,Huis van Vletingen downtown apartment Ghent,5082339,Joost,,Binnenstad,51.04531,3.73526,Entire home/apt,92,2,164,2025-03-31,1.11,1,262,7,
1222069,B&B Marie Reine in old Monastry,5456443,Ruth,,Watersportbaan - Ekkergem,51.04997,3.70477,Private room,85,2,424,2024-06-21,2.90,2,108,0,
1339383,"Heaven@11, your charming studio in historic Gent.",7258638,Ina,,Binnenstad,51.05823,3.72194,Entire home/apt,121,4,49,2024-11-03,0.35,2,77,7,
1418588,"Modern house w pool,near Ghent,2-8p",7640576,Stijn,,Sint Denijs Westrem,51.02246,3.66932,Entire home/apt,280,3,65,2024-08-11,0.46,1,68,2,
1425838,Cosy room in green area,6976593,Hilde,,Mariakerke,51.07343,3.69184,Private room,49,7,26,2025-04-18,0.18,2,347,5,
